STATION_CODE,Species,Fish_no,Length,Weight,Kjønn,Liver_weight,Liver_color,Gonad_weight,Age,Otolittform
02B,Torsk,1,43,731.8,M,11.4,R,NA,2,kyst
02B,Torsk,2,43,669.4,F,9.56,R,NA,1,kyst
02B,Torsk,3,42,755.7,M,20.85,RG,NA,1,kyst
02B,Torsk,4,60,2185.2,F,51.48,HR,NA,3,kyst
02B,Torsk,5,41,764,F,6.5,RG,NA,1,skreiform??
02B,Torsk,6,47,1092.2,F,14.4,RG,NA,2,kyst
02B,Torsk,7,43,606.5,M,11.1,RG,NA,2,kyst
02B,Torsk,8,40,689.5,M,8.55,HR,NA,1,kyst
02B,Torsk,9,43,626.8,F,6.86,R,NA,2,kyst
02B,Torsk,10,42,674.1,F,9.4,RG,NA,1,kyst
02B,Torsk,11,42,711.8,M,8.6,GR,NA,1,kyst
02B,Torsk,12,50,1281.7,F,11.14,GR,NA,3,kyst
02B,Torsk,13,50,968,M,23.61,RG,NA,2,kyst
02B,Torsk,14,47,971,M,36.5,GR,NA,2,kyst
10B,Torsk,1,61.5,1780,M,61,HR,NA,6,k
10B,Torsk,2,40.5,597,F,18.3,HR,NA,3,k
10B,Torsk,3,39.5,576,F,30.1,HR,NA,5,k
10B,Torsk,4,40,638,F,21.6,HR,NA,4,k
10B,Torsk,5,39.5,540,F,15.1,HR,NA,3,k
10B,Torsk,6,36,353,M,8.5,HR,NA,4,k
10B,Torsk,7,38,470,F,6.5,HR,NA,3,k
10B,Torsk,8,33,335,M,10.4,HR,NA,3,k
10B,Torsk,9,34.5,381,F,11.7,HR,NA,3,k
10B,Torsk,10,35,385,M,10,HR,NA,3,k
10B,Torsk,11,36,389,F,12.4,HR,NA,3,k
10B,Torsk,12,35.5,367,M,15.3,HR,NA,3,k
10B,Torsk,13,31,266,F,7.4,HR,NA,3,k
10B,Torsk,14,32.5,300,M,6.4,HR,NA,3,k
10B,Torsk,15,33,267,M,7.6,HR,NA,3,k
10B,Torsk,16,31.5,250,NA,6.6,HR,NA,NA,NA
10B,Torsk,17,31,308,NA,5.6,HR,NA,NA,NA
10B,Torsk,18,33.5,323,NA,4.2,HR,NA,NA,NA
10B,Torsk,19,28,185,NA,4.2,HR,NA,NA,NA
13B,Torsk,1,63,2167,M,42.7,gr,1,6,k
13B,Torsk,2,62,2146,F,37.7,rg,10.7,4,k
13B,Torsk,3,56,1441,M,40.1,gr,NA,5,k
13B,Torsk,4,49,1314,F,15.9,rg,2,4,k
13B,Torsk,5,48,1030,M,25.9,gr,4.1,4,k
13B,Torsk,6,45,826,F,9,rg,NA,2,k
13B,Torsk,7,44,820,F,8.5,rg,4.5,2,k
13B,Torsk,8,44.5,846,M,13.5,rg,2.4,2,k
13B,Torsk,9,45,864,M,15.4,rg,NA,2,k
13B,Torsk,10,43,724,F,10.2,rg,1.2,3,k
13B,Torsk,11,42,680,M,11.4,gr,1.7,2,k
13B,Torsk,12,41,641,M,6.8,rb,NA,2,k
13B,Torsk,13,37,557,F,9.8,rg,NA,2,k
13B,Torsk,14,36,478,F,6.1,rg,NA,1,k
13B,Torsk,15,35,419,F,4.6,rb,NA,2,k
13B,Torsk,16,52,1802,F,34,rg,2,NA,NA
13B,Torsk,17,58,2119,M,83,gr,68,NA,NA
13B,Torsk,18,54,1630,M,18.4,gr,2,NA,NA
13B,Torsk,19,63,2428,M,60.6,gr,144,NA,NA
13B,Torsk,20,56.5,1894,M,52.23,gr,95,NA,NA
13B,Torsk,21,53,1366,M,66.1,gr,71,NA,NA
13B,Torsk,22,50,1144,M,9.6,rg,75,NA,NA
13B,Torsk,23,46,927,F,21.8,rg,77,NA,NA
13B,Torsk,24,44,836,M,27,gr,56,NA,NA
13B,Torsk,25,44.5,853,M,19.8,gr,46,NA,NA
13B,Torsk,26,44,965,F,7.8,gr,3,NA,NA
13B,Torsk,27,41,911,F,12.5,gr,2,NA,NA
13B,Torsk,28,41,758,M,24.2,gr,22,NA,NA
13B,Torsk,29,43,821,F,7.7,gr,3,NA,NA
13B,Torsk,30,42,737,M,22.9,gr,15,NA,NA
13B,Torsk,31,41.5,738,M,9.4,gr,2,NA,NA
13B,Torsk,32,39,603,F,19.6,gr,14,NA,NA
13B,Torsk,33,41,606,F,6.1,rg,2,NA,NA
13B,Torsk,34,39,709,F,24.6,gr,27,NA,NA
13B,Torsk,35,38.5,551,M,4.1,rg,4,NA,NA
15B,Torsk,1,58,2533,M,75,gr,NA,4,k
15B,Torsk,2,48,1444,M,36.7,gr,NA,2,k
15B,Torsk,3,49,1483,M,21.7,gr,NA,2,k
15B,Torsk,4,50,1468,M,33.3,rg,NA,2,k
15B,Torsk,5,54,2073,M,78.1,gr,NA,3,k
15B,Torsk,6,59,2083,M,23.6,rg,NA,4,k
15B,Torsk,7,56,1983,M,35.2,gr,NA,4,k
15B,Torsk,8,49,1305,F,44.5,gr,4.5,2,k
15B,Torsk,9,61,2552,M,75.8,gr,NA,3,k
15B,Torsk,10,56,1966,M,51.7,gr,NA,3,k
15B,Torsk,11,57.5,1930,F,61.6,gr,6.5,2,k
15B,Torsk,12,66,3314,F,86.3,gr,13,4,k
15B,Torsk,13,51,2568,F,91.2,gr,11.5,4,k
15B,Torsk,14,57.5,2297,M,102.8,gr,NA,3,k
15B,Torsk,15,55,1844,F,74.5,gr,6.03,3,k
23B,Torsk,1,67,3110,F,154,H,17,3,k
23B,Torsk,2,62,2320,M,36,G,1,3,k
23B,Torsk,3,66,3200,F,143,H,26,4,k
23B,Torsk,4,62,2050,F,48,G,23,3,k
23B,Torsk,5,66,2910,M,113,H,11,4,k
23B,Torsk,6,57,1750,M,22,H,2,2,k
23B,Torsk,7,75,4130,M,130,H,8,4,k
23B,Torsk,8,61,2260,M,61,H,3,4,k
23B,Torsk,9,61,2260,F,46,H,12,3,k
23B,Torsk,10,56,1500,M,26,H,1,2,k
23B,Torsk,11,64,2790,F,84,H,21,5,k
23B,Torsk,12,58,1500,F,63,H,21,3,k
23B,Torsk,13,63,2600,F,69,H,27,4,k
23B,Torsk,14,58,1990,F,64,H,24,3,k
23B,Torsk,15,62,2490,M,72,H,2,3,k
24B,Torsk,1,53.5,1709,F,38.8,H,35.6,2,k
24B,Torsk,2,61,2164,F,55.51,hg,112.75,5,k
24B,Torsk,3,55,2049,F,58.2,H,9.8,2,k
24B,Torsk,4,60,2641,F,81.99,hr,72.17,2,k
24B,Torsk,5,59,2279,F,87.1,HR,57.8,3,k
24B,Torsk,6,57.5,2209,F,42.73,HR,65.09,4,k
24B,Torsk,7,52.5,1535,F,37.7,HR,7.7,2,k
24B,Torsk,8,60,2391,M,44.82,HR,6.34,5,k
24B,Torsk,9,57.5,2108,M,57.8,H,285.7,4,k
24B,Torsk,10,59.5,2366,F,76.3,HR,151.97,2,k
24B,Torsk,11,58,2124,F,31,HB,7.9,2,k
24B,Torsk,12,52,1631,M,19.41,HR,92.56,4,k
24B,Torsk,13,55,1784,F,53.6,B,71.8,2,k
24B,Torsk,14,55,2191,F,62.9,HR,126.78,5,k
24B,Torsk,15,56,1820,F,25.9,HR,8.7,2,k
24B,Torsk,16,53.5,1861,F,64.08,HR,141.37,NA,NA
24B,Torsk,17,61.5,2742,M,84.7,H,232.1,NA,NA
24B,Torsk,18,75.5,4530,F,72.94,HR,164.29,NA,NA
24B,Torsk,19,54,1715,F,24,H,7,NA,NA
24B,Torsk,20,63.5,3189,F,148.9,H,264.73,NA,NA
28B,Torsk,1,27.5,183.7,F,1.4,HR,NA,1,kyst
28B,Torsk,2,37.5,470.4,M,3.23,GR,NA,2,kyst
28B,Torsk,3,50.5,1660,F,51.85,HG,NA,4,kyst
28B,Torsk,4,62,2632,M,251.1,GHR,NA,5,kyst
28B,Torsk,5,74,3150,F,170.1,GHR,NA,7,kyst
28B,Torsk,6,74,4164.5,M,258.6,HR,NA,6,kyst
28B,Torsk,7,74.5,4635.5,M,176.2,HR,NA,9,kyst
28B,Torsk,8,86,7250,F,426,HR,NA,6,kyst
30B,Torsk,1,49,990,F,20.5,HR,10.5,5,kyst
30B,Torsk,2,53,1280,F,10.9,B,4.6,3,kyst
30B,Torsk,3,48,1030,M,16.1,B,7.6,4,kyst
30B,Torsk,4,43,760,M,15.5,HR,10.4,3,kyst
30B,Torsk,5,44,760,F,12.7,HR,13.4,4,kyst
30B,Torsk,6,39,540,F,15.5,HR,12.7,3,kyst
30B,Torsk,7,41,570,M,9.8,B,4.3,4,kyst
30B,Torsk,8,40,600,M,10.5,HR,5.4,4,kyst
30B,Torsk,9,68,2980,F,184.1,HR,46.7,6,kyst
30B,Torsk,10,64,2160,M,20.8,B,82.4,6,kyst
30B,Torsk,11,57,1530,F,17.8,HR,4.6,4,kyst
30B,Torsk,12,65,2190,F,21.3,B,6.3,4,kyst
30B,Torsk,13,48,880,F,12.7,HR,5.5,4,kyst
30B,Torsk,14,49,1070,F,14.3,B,5.3,3,kyst
30B,Torsk,15,48.5,1080,F,16,B,20.6,6,kyst
30B,Torsk,16,64,2390,F,20.9,R,NA,NA,NA
30B,Torsk,17,60,1924,F,NA,GH,NA,NA,NA
30B,Torsk,18,35,413.7,F,NA,HR,NA,NA,NA
30B,Torsk,19,38,529,F,5.3,HR,NA,NA,NA
30B,Torsk,20,45,773.5,F,8.5,R,NA,NA,NA
30B,Torsk,21,45,555.5,F,5.1,G,NA,NA,NA
30B,Torsk,22,39,654.5,F,18.5,G,NA,NA,NA
30B,Torsk,23,44,778.5,F,17.8,GR,NA,NA,NA
30B,Torsk,24,31,248,F,2.2,GR,NA,NA,NA
30B,Torsk,25,49,1274,M,NA,GR,NA,NA,NA
30B,Torsk,26,49,1215,F,NA,GR,NA,NA,NA
