STATION_CODE,Species,Fish_no,Length,Weight,Kjønn,Liver_weight,Liver_color,Gonad_weight,Age,Otolittform
23B,Torsk,20,47.5,1253.5,F,26.6,GR,3,NA,NA
23B,Torsk,21,50,1251.1,F,25.9,GR,3,NA,NA
24B,Torsk,1,55,2049.5,F,129.3,H,25,3,NA
24B,Torsk,2,43,801,F,46.6,HR,13.6,2,NA
24B,Torsk,3,70,4088.2,F,150.2,G,73.2,6,NA
24B,Torsk,4,44,902.8,M,22.8,GR,0.4,2,NA
24B,Torsk,5,40,536.3,M,2.3,R,2.7,2,NA
24B,Torsk,6,41.5,676.3,M,15,G,1.1,3,NA
24B,Torsk,7,40,721.4,M,17.4,HR,1.1,2,NA
24B,Torsk,8,46,991,F,17.9,HR,5.6,2,NA
24B,Torsk,9,53,1243,M,24.2,BR,4.8,3,NA
24B,Torsk,10,55,1553.6,M,38.4,G,3.1,3,NA
24B,Torsk,11,56.5,2472.2,M,119.7,G,7.2,4,NA
24B,Torsk,12,57,2177.2,F,100,G,27.9,4,NA
24B,Torsk,13,59.5,2558.7,F,95.3,H,22.7,4,NA
24B,Torsk,14,45.5,1295.1,F,60.2,H,9.2,2,NA
24B,Torsk,15,50,1385,M,68.1,HG,14.9,3,NA
24B,Torsk,16,36,428,NA,NA,NA,NA,NA,NA
24B,Torsk,17,37.5,634.7,NA,NA,NA,NA,NA,NA
28B,Torsk,1,75,3661,F,54.28,GR,43.7,5,NA
28B,Torsk,2,72,3060,M,189.03,GR,28.84,9,NA
28B,Torsk,3,72.5,3194,F,45.67,GR,19.29,7,NA
28B,Torsk,4,66,2476,F,163.8,GR,34.28,8,NA
28B,Torsk,5,65,2837,F,112.8,GR,82.04,6,NA
28B,Torsk,6,62,2696,F,58.83,GR,18.3,10,NA
28B,Torsk,7,61,2550,F,141.16,GR,20.65,5,NA
28B,Torsk,8,60,1868,F,57.9,G,19,5,NA
28B,Torsk,9,58,1716,F,53.76,G,14.18,3,NA
28B,Torsk,10,57,1892,M,145.86,G,8.24,4,NA
28B,Torsk,11,53,1461,M,56.13,G,4.3,3,NA
28B,Torsk,12,47,1164,F,48.74,GR,8.32,3,NA
28B,Torsk,13,49,976,M,47.9,G,6.78,5,NA
28B,Torsk,14,50,1121,M,58.37,GR,4.54,4,NA
28B,Torsk,15,48,1017,M,53.54,G,5.88,4,NA
30B,Torsk,1,44,726,M,5.6,GB,3.9,2,NA
30B,Torsk,2,41,593,M,8.5,HR,1,2,NA
30B,Torsk,3,64.5,2580,M,52.7,H,106,5,NA
30B,Torsk,4,55,1730,F,77.4,H,41.9,5,NA
30B,Torsk,5,42,612,F,11.1,G,1.1,2,NA
30B,Torsk,6,54,1410,M,38.8,G,36.9,6,NA
30B,Torsk,7,53.5,1610,F,44,G,26.8,5,NA
30B,Torsk,8,45,880,F,15.3,G,17,2,NA
30B,Torsk,9,41.5,718,M,17.1,G,9,3,NA
30B,Torsk,10,51.5,1250,M,17.6,G,1.2,2,NA
30B,Torsk,11,46,890,F,32.3,H,22.3,3,NA
30B,Torsk,12,42,610,F,14,G,9.1,3,NA
30B,Torsk,13,39.5,596,M,9.1,G,1.1,2,NA
30B,Torsk,14,39,540,M,6.1,GB,4.4,4,NA
30B,Torsk,15,39,515,M,11.5,H,1.4,2,NA
30B,Torsk,16,38.2,516,M,9.5,HR,NA,NA,NA
30B,Torsk,17,38,528.4,M,11.9,HR,NA,NA,NA
30B,Torsk,18,35.6,437,M,11.9,H,NA,NA,NA
30B,Torsk,19,33.4,361,F,2.8,RB,NA,NA,NA
30B,Torsk,20,35.1,418,M,3.6,RH,NA,NA,NA
30B,Torsk,21,36.4,455,M,6,RH,NA,NA,NA
30B,Torsk,22,36.2,476,F,7.7,HG,NA,NA,NA
30B,Torsk,23,33,374,M,6.6,HR,NA,NA,NA
30B,Torsk,24,32.5,357,F,3.4,RH,NA,NA,NA
30B,Torsk,25,34.3,379,M,6.4,HR,NA,NA,NA
30B,Torsk,26,30,273,F,2.5,GB,NA,NA,NA
30B,Torsk,27,32.6,324,M,2,B,NA,NA,NA
30B,Torsk,28,29.8,226,F,2.2,R,NA,NA,NA
30B,Torsk,29,28.8,227,F,1.9,RH,NA,NA,NA
30B,Torsk,30,27.4,203,F,4.2,H,NA,NA,NA
30B,Torsk,31,26,179.5,M,1.1,RB,NA,NA,NA
30B,Torsk,32,33.2,360,M,3,RH,NA,NA,NA
30B,Torsk,33,35.9,415,F,8.9,HR,NA,NA,NA
30B,Torsk,34,31.5,279,M,4,HR,NA,NA,NA
30B,Torsk,35,28,180,F,1.6,HR,NA,NA,NA
30B,Torsk,36,29,214.1,M,2.8,HR,NA,NA,NA
30B,Torsk,37,36,470.6,F,24.34,HR,NA,NA,NA
30B,Torsk,38,35.5,427.4,F,5.92,GR,NA,NA,NA
30B,Torsk,39,37,506.7,F,10.41,RH,NA,NA,NA
33F,Skrubbe,3,40,657.1,F,9.3,gr,NA,6,NA
33F,Skrubbe,10,40,560.4,F,4.1,b,NA,8,NA
33F,Skrubbe,4,38.5,632.6,F,9.8,rh,NA,7,NA
33F,Skrubbe,6,38,658.3,F,10.9,rh,NA,6,NA
33F,Skrubbe,9,37.5,706.2,F,14.4,hg,NA,5,NA
33F,Skrubbe,8,37,537.8,F,6.9,gr,NA,6,NA
33F,Skrubbe,14,37,621.8,F,12,gr,NA,5,NA
33F,Skrubbe,15,37,758.7,F,17.9,gr,NA,6,NA
33F,Skrubbe,5,36,581.5,F,10.8,gr,NA,7,NA
33F,Skrubbe,12,36,576.1,F,11.1,gr,NA,4,NA
33F,Skrubbe,13,36,538.5,F,6.4,rb,NA,7,NA
33F,Skrubbe,1,35.5,548.3,F,8.1,rg,NA,5,NA
33F,Skrubbe,2,35,547.4,F,6.8,rb,NA,5,NA
33F,Skrubbe,7,35,519.4,F,10.5,rb,NA,5,NA
33F,Skrubbe,11,35,625.5,F,12.9,rg,NA,4,NA
33F,Skrubbe,16,34.5,558.7,NA,NA,NA,NA,NA,NA
36B,Torsk,1,57,1497,M,27.4,hg,4.7,3,NA
36B,Torsk,2,49,1199,M,50.8,hr,2.7,2,NA
36B,Torsk,3,46,886,M,12.6,hr,1.1,2,NA
36B,Torsk,4,36,532,F,13.6,hr,3.4,2,NA
36B,Torsk,5,53,1652,F,109.9,hg,7.9,3,NA
36B,Torsk,6,44,645,F,7.9,hr,6.2,2,NA
36B,Torsk,7,40,658,F,30.8,hr,2.7,2,NA
36B,Torsk,8,49,1325,F,76.4,hr,6.8,2,NA
36B,Torsk,9,50,1269,M,60.6,hr,2.9,4,NA
36B,Torsk,10,48,1244,M,50.1,rh,5.5,2,NA
36B,Torsk,11,48,955,F,18.5,hr,4.1,2,NA
36B,Torsk,12,44,738,M,13.4,rh,0.9,2,NA
36B,Torsk,13,45,796,M,24.7,hr,1.4,3,NA
36B,Torsk,14,43,674,M,7.9,r,0.9,2,NA
36B,Torsk,15,44,603,M,5,hr,0.7,2,NA
36B,Torsk,16,39.5,526,F,8,rh,5,NA,NA
36B,Torsk,17,37,418,M,3.2,r,0.5,NA,NA
36B,Torsk,18,37,519,M,12.7,hr,0.8,NA,NA
36B,Torsk,19,37,432,F,5.6,gr,2.5,NA,NA
36B,Torsk,20,38,490,M,8.4,gr,0.3,NA,NA
36B,Torsk,21,37,438,M,4.6,rg,1.2,NA,NA
36B,Torsk,22,40,483,F,6,rg,2.9,NA,NA
36B,Torsk,23,37,495.9,F,7.8,rh,2.4,NA,NA
36B,Torsk,24,38.5,594.3,F,7.1,rh,3.1,NA,NA
36B,Torsk,25,41,573,M,6.5,rb,0.9,NA,NA
36B,Torsk,26,36.5,479.6,F,5.4,rb,2.33,NA,NA
36B,Torsk,27,42,692.4,F,7,gr,2.4,NA,NA
36B,Torsk,28,46.5,1019.6,F,16.3,hg,3.3,NA,NA
36B,Torsk,29,34.5,404.4,M,4.5,rg,NA,NA,NA
36B,Torsk,30,42,753,M,10.6,gr,0.5,NA,NA
36B,Torsk,31,45,872,F,18,gr,7,NA,NA
36B,Torsk,32,38,561,F,4.6,rg,2.2,NA,NA
36B,Torsk,33,40,686.7,F,15,gh,2.2,NA,NA
36B,Torsk,34,40,612.8,F,14.7,gh,3.2,NA,NA
36B,Torsk,35,43.5,867,F,23.7,hr,2.7,NA,NA
43B2,Torsk,1,85,5040,M,270,hvit,11,7,NA
43B2,Torsk,2,82,4650,M,170,hvit,7.1,8,NA
43B2,Torsk,3,73,3430,M,113,hvit,44,7,NA
43B2,Torsk,4,76,3730,M,69,hvit,10,7,NA
43B2,Torsk,5,61,2620,F,100,hvit,38,4,NA
43B2,Torsk,6,76,4110,F,195,hvit,40,5,NA
43B2,Torsk,7,62.5,2270,M,52,hvit,5,5,NA
43B2,Torsk,8,51,1440,M,65,hvit,10,4,NA
43B2,Torsk,9,63,1770,M,29,hvit,10,7,NA
43B2,Torsk,10,69,3070,M,65,hvit,5,5,NA
43B2,Torsk,11,44,990,M,45,hvit,3,4,NA
43B2,Torsk,12,46,760,F,26,hvit,5,3,NA
43B2,Torsk,13,79,4420,F,151,hvit,40,6,NA
43B2,Torsk,14,68,2820,M,89,hvit,5,6,NA
43B2,Torsk,15,71,2930,M,89,hvit,10,6,NA
45B2,Torsk,1,38.6,422.3,m,5.81,rg,NA,3,NA
45B2,Torsk,2,42.4,669.6,m,5.7,rg,NA,3,NA
45B2,Torsk,3,47.8,1086.2,m,35.1,gh,NA,5,NA
45B2,Torsk,4,64.2,2397,m,102.4,g,NA,5,NA
45B2,Torsk,5,56.3,1584.6,m,41.2,g,NA,6,NA
45B2,Torsk,6,45.5,887.7,m,10.5,gr,NA,4,NA
45B2,Torsk,7,60.4,2029.3,m,80.6,h,NA,4,NA
45B2,Torsk,8,56.7,1646.9,m,86.3,hr,NA,4,NA
45B2,Torsk,9,55.7,1481.1,m,28,g,NA,3,NA
45B2,Torsk,10,39.2,532.9,m,4.8,gr,NA,2,NA
45B2,Torsk,11,43.6,768.4,m,9.66,gr,NA,3,NA
45B2,Torsk,12,42.7,729.5,f,15.9,g,NA,3,NA
45B2,Torsk,13,82.5,4966.3,f,170.9,gr,NA,6,NA
45B2,Torsk,14,42.2,674,m,8,gr,NA,3,NA
45B2,Torsk,15,65.7,2815.8,m,102.2,gr,NA,8,NA
45B2,Torsk,16,33,293.2,m,2.44,NA,NA,NA,NA
45B2,Torsk,17,35.5,374,m,3.3,r,NA,NA,NA
45B2,Torsk,18,65,2263.7,m,59,g,NA,8,NA
45B2,Torsk,19,62,2200,f,110.2,hr,NA,5,NA
45B2,Torsk,20,54.5,1227.5,m,25.84,gr,NA,4,NA
45B2,Torsk,21,46.5,912.8,m,19.27,rh,NA,3,NA
45B2,Torsk,22,53.5,1226.4,m,38.57,hr,NA,3,NA
45B2,Torsk,23,44,541.3,m,25.18,gr,NA,2,NA
45B2,Torsk,24,43,786.4,f,24.8,hr,NA,3,NA
45B2,Torsk,25,42.5,656.8,m,35.6,h,NA,2,NA
45B2,Torsk,26,41.5,688,m,35,h,NA,2,NA
45B2,Torsk,27,40,586.8,m,19.8,g,NA,2,NA
53B,Torsk,1,75,4970,F,147,H,55,6,NA
53B,Torsk,2,62,2780,F,166,H,38,5,NA
53B,Torsk,3,55,1750,F,86,H,16,2,NA
53B,Torsk,4,53,1530,F,57,H,16,3,NA
53B,Torsk,5,50.5,1300,F,49,H,10,2,NA
53B,Torsk,6,52,1380,F,43,H,14,2,NA
53B,Torsk,7,53,1500,F,74,H,11,3,NA
53B,Torsk,8,53.5,1330,F,79,H,13,2,NA
53B,Torsk,9,54.5,1540,F,45,H,19,2,NA
53B,Torsk,10,51,1460,M,67,H,7,3,NA
53B,Torsk,11,51,1340,M,45,H,6,2,NA
53B,Torsk,12,51.5,1300,F,53,H,15,3,NA
53B,Torsk,13,46,1030,M,55,H,9,2,NA
53B,Torsk,14,49.5,1230,F,28,H,13,2,NA
53B,Torsk,15,47,970,M,26,H,1,3,NA
53B,Torsk,16,47.5,990,M,36,H,23,3,NA
71B,Torsk,1,37,536.4,F,9.5,RG,1.1,1,NA
71B,Torsk,2,35.5,478.6,F,14,GR,0.9,1,NA
71B,Torsk,3,42,674.4,F,20.3,HR,2.9,2,NA
71B,Torsk,4,44,784.3,F,9.5,RB,3.9,2,NA
71B,Torsk,5,35,399,M,8.3,GR,0.4,2,NA
71B,Torsk,6,57.7,1817,F,38.7,RH,NA,5,NA
71B,Torsk,7,61,2706,F,51.9,HR,NA,4,NA
71B,Torsk,8,54.5,1662,F,72.2,HR,NA,2,NA
71B,Torsk,9,64.2,3046,F,34.8,HR,NA,4,NA
71B,Torsk,10,59.5,2166,F,45.5,HR,NA,3,NA
71B,Torsk,11,56,1400,M,26.9,RB,NA,4,NA
71B,Torsk,12,55.5,1381,M,20.1,RH,NA,3,NA
71B,Torsk,13,55.7,1660,F,35.8,RH,NA,4,NA
71B,Torsk,14,53.5,1395,F,14.3,RH,NA,2,NA
71B,Torsk,15,55.4,1585,M,22.6,HR,NA,5,NA
71B,Torsk,16,49.5,1303,M,27.1,HR,NA,NA,NA
71B,Torsk,17,49.2,1220,F,34.7,HR,NA,2,NA
71B,Torsk,18,49.3,1230,M,18.3,RH,NA,NA,NA
71B,Torsk,19,50.6,1325,F,19.6,RH,NA,NA,NA
71B,Torsk,20,41.5,891,F,9.2,RH,NA,NA,NA
71B,Torsk,21,45,1090,M,47.1,HR,NA,2,NA
71B,Torsk,22,44,906,M,22.9,HR,NA,NA,NA
71B,Torsk,23,41.5,708,M,10,RH,NA,NA,NA
71B,Torsk,24,45.3,857,F,15.6,HR,NA,NA,NA
80B,Torsk,1,56,1849.2,M,94.8,HR,18.3,5,NA
80B,Torsk,2,61,2681.1,M,301.39,HR,6.64,3,NA
80B,Torsk,3,52,1701.2,M,53.74,GR,8.37,4,NA
80B,Torsk,4,64,2615,F,43.45,GR,15.5,3,NA
80B,Torsk,5,60,2547.9,M,215.1,GR,9,3,NA
80B,Torsk,6,70,3361.8,M,87.4,GR,14.5,6,NA
80B,Torsk,7,62,2536.3,F,240.8,HR,11.6,3,NA
80B,Torsk,8,63,2950.1,M,287.9,HR,38.2,5,NA
80B,Torsk,9,63,2612.5,M,307.6,RH,10.7,3,NA
80B,Torsk,10,88,5067.7,F,177,GH,52.1,5,NA
80B,Torsk,11,66,3523,F,286.4,GR,80,4,NA
80B,Torsk,12,58,2029,M,72.5,GR,6.4,3,NA
80B,Torsk,13,71.5,3966,F,198.9,G,92.12,5,NA
80B,Torsk,14,74.5,4452,M,266.3,RH,140.8,5,NA
80B,Torsk,15,75,4539.8,M,330.3,GR,91.8,5,NA
96B,Torsk,1,82,5910,F,90.3,RG,56.7,8,NA
96B,Torsk,2,69,4070,M,113.5,GR,13.7,4,NA
96B,Torsk,3,58.5,2150,F,33.29,GR,9.28,4,NA
96B,Torsk,4,59,3235,M,87.35,GR,28.85,5,NA
96B,Torsk,5,71,3712,F,81.76,G,42.34,5,NA
96B,Torsk,6,66.5,3153,M,119.17,G,8,4,NA
96B,Torsk,7,70.5,3754,F,47.93,GB,27.34,6,NA
96B,Torsk,8,76.5,3908,M,86.5,GR,21.9,5,NA
96B,Torsk,9,78,3249,M,28.33,RB,21.4,9,NA
96B,Torsk,10,74,3553,F,127.9,GR,29.5,5,NA
96B,Torsk,11,71,3804,F,86.22,GH,16.46,6,NA
96B,Torsk,12,68,3702,M,137.49,GR,18.73,5,NA
96B,Torsk,13,63,2690,M,54.58,GR,12.39,5,NA
96B,Torsk,14,76,4552,M,146.05,GR,27.15,6,NA
96B,Torsk,15,60,1881,M,19.5,RB,11.5,4,NA
98B1,Torsk,1,38.5,567.2,m,20.4,gr,NA,2,NA
98B1,Torsk,2,40,612,F,11.57,GR,NA,2,NA
98B1,Torsk,3,39,647.5,M,27.49,GR,NA,2,NA
98B1,Torsk,4,44,756.2,F,23.8,GR,NA,2,NA
98B1,Torsk,5,47,1108.4,F,46.94,G,NA,2,NA
98B1,Torsk,6,46.5,861.6,F,7.8,GR,NA,4,NA
98B1,Torsk,7,58,2011.5,F,50.44,GR,NA,3,NA
98B1,Torsk,8,64,2450.1,M,183,GR,NA,5,NA
98B1,Torsk,9,66.5,2988.6,M,29.59,RG,NA,5,NA
98B1,Torsk,10,55.5,1567.3,M,31.7,GR,NA,5,NA
98B1,Torsk,11,56,1724.6,M,38.17,HR,NA,5,NA
98B1,Torsk,12,59,2067.8,F,78.6,GR,NA,3,NA
98B1,Torsk,13,69,3513.4,F,166,GR,NA,5,NA
98B1,Torsk,14,73.5,3451.5,M,32.1,BR,NA,10,NA
98B1,Torsk,15,84,5630,F,368.2,GR,NA,8,NA
