STATION_CODE,Species,Fish_no,Length,Weight,Kjønn,Liver_weight,Liver_color,Gonad_weight,Age,Otolittform
02B,Torsk,1,35,343.1,F,4.3,RB,NA,2,NA
02B,Torsk,2,40,515.3,M,9.2,RH,NA,3,NA
02B,Torsk,3,42.5,743.6,M,12.5,RH,NA,2,NA
02B,Torsk,4,43,743.2,M,14.8,RH,NA,3,NA
02B,Torsk,5,44,733.3,M,7.3,RB,NA,2,NA
02B,Torsk,6,40.5,613.9,M,9.7,RH,NA,2,NA
02B,Torsk,7,43,741.7,M,26.5,HR,NA,2,NA
02B,Torsk,8,55,1679,M,22.9,RB,NA,3,NA
10B,Torsk,1,42.5,766,F,31.8,H,5.2,3,NA
10B,Torsk,2,44,911.5,F,27.7,HR,4.4,3,NA
10B,Torsk,3,49,1158.1,M,24.4,GH,27,3,NA
10B,Torsk,4,46.5,1033.2,F,21,HR,8.4,4,NA
10B,Torsk,5,41,650,M,8.6,GR,0.6,5,NA
10B,Torsk,6,37,480,F,15.4,H,1.9,2,NA
10B,Torsk,7,35,415.7,F,17.8,GH,2.3,2,NA
10B,Torsk,8,36.5,450,M,19.5,HR,0.4,2,NA
10B,Torsk,9,34.5,386.7,M,16.8,H,3.6,2,NA
10B,Torsk,10,32,313.4,F,4.6,GH,1.4,3,NA
10B,Torsk,11,33,328.3,M,10.9,HR,0.5,3,NA
10B,Torsk,12,31.5,273,M,5.7,GH,0.1,2,NA
10B,Torsk,13,30,268.3,F,7.4,HR,1.3,3,NA
10B,Torsk,14,28,199.8,M,7,GH,0.1,2,NA
10B,Torsk,15,28,193,F,5.2,HR,0.7,2,NA
10B,Torsk,16,27,175,M,5.1,HR,0.09,NA,NA
10B,Torsk,17,28,170.7,F,1.77,GBR,0.31,NA,NA
10B,Torsk,18,27,170.3,M,3.9,GR,0.04,NA,NA
10B,Torsk,19,27,170.5,M,2.23,GR,0.07,NA,NA
10B,Torsk,20,25,138.9,F,1.44,R,0.32,NA,NA
10B,Torsk,21,25,122,F,1.44,RG,0.36,NA,NA
10B,Torsk,22,26,130.9,F,1.85,GR,0.43,NA,NA
13B,Torsk,1,40,674,m,33.31,gr,23.35,2,NA
13B,Torsk,2,41,713,f,7.45,rg,0.9,2,NA
13B,Torsk,3,47,998,m,13.56,gr,0.47,2,NA
13B,Torsk,4,52,1150,f,23.11,gr,17.7,4,NA
13B,Torsk,5,44,832,f,13.09,gr,2.85,2,NA
13B,Torsk,6,53,1132,m,11.88,gr,0.9,2,NA
13B,Torsk,7,51,1166,f,15.17,gr,13.38,2,NA
13B,Torsk,8,57,1770,f,50.9,gr,40.13,4,NA
13B,Torsk,9,55,1565,m,38.17,gr,7.8,3,NA
13B,Torsk,10,58,1448,f,14.2,rg,6.46,3,NA
13B,Torsk,11,49,1044,m,8.8,rg,0.4,2,NA
13B,Torsk,12,67,2026,f,28.16,gr,18.95,5,NA
13B,Torsk,13,56,1652,f,14.5,gr,8.19,3,NA
13B,Torsk,14,60,1847,m,20.7,gr,6.4,4,NA
13B,Torsk,15,66,2501,f,108.13,gr,65.04,5,NA
15B,Torsk,1,72,3440,F,54.75,RG,15.47,4,NA
15B,Torsk,2,68,3010,F,61.49,GR,34.24,4,NA
15B,Torsk,3,65,2690,F,25.78,RG,10.17,3,NA
15B,Torsk,4,63,2107,F,28.92,GR,5.4,3,NA
15B,Torsk,5,62,2165,M,36.58,GR,2.2,3,NA
15B,Torsk,6,63,2429,M,28.23,RG,4.6,3,NA
15B,Torsk,7,62,2481,F,20.16,GR,12.55,3,NA
15B,Torsk,8,58,2042,M,27.05,GR,1.6,3,NA
15B,Torsk,9,52,1561,F,24.72,RG,7.57,3,NA
15B,Torsk,10,54,1706,M,25.49,RG,1.4,2,NA
15B,Torsk,11,56,1693,M,25.92,RG,4.6,3,NA
15B,Torsk,12,54,1588,M,19.68,GR,3.4,3,NA
15B,Torsk,13,53,1460,F,28.52,GR,4.9,2,NA
15B,Torsk,14,54,1526,M,20.5,GR,1.6,3,NA
15B,Torsk,15,49,1269,M,16.95,RG,2.5,2,NA
15B,Torsk,16,50,1146,F,18.17,GR,NA,NA,NA
15B,Torsk,17,51,1103,M,7.6,RB,NA,NA,NA
15B,Torsk,18,46,986,F,19.99,GR,NA,NA,NA
15B,Torsk,19,48,1194,M,18.6,GR,NA,NA,NA
15B,Torsk,20,44,1249,M,16.22,GR,NA,NA,NA
15B,Torsk,21,49,1268,F,20.19,R,NA,NA,NA
15B,Torsk,22,47,1064,F,12.9,R,NA,NA,NA
19B,Torsk,1,80,4600,M,144,Hvit,15.1,7,NA
19B,Torsk,2,77,8500,M,180,Hvit,46.8,6,NA
19B,Torsk,3,84,5900,F,181,Hvit,55,7,NA
19B,Torsk,4,77,4050,F,156,Rosa,55.4,6,NA
19B,Torsk,5,85,5820,F,334,Hvit,68,7,NA
19B,Torsk,6,96,7610,M,351,Rosa,134,8,NA
19B,Torsk,7,81,4050,M,184,Hvit,17,6,NA
19B,Torsk,8,80,4910,F,237,Hvit,51.8,6,NA
19B,Torsk,9,82,5220,M,317,Rosa,32.7,6,NA
19B,Torsk,10,79,4310,M,301,Hvit,20,6,NA
19B,Torsk,11,87,6250,M,310,Hvit,31.29,6,NA
19B,Torsk,12,89,6020,F,228,Hvit,63,NA,"kun én otolitt, og det var krystallisk"
19B,Torsk,13,75,4110,M,180,Hvit,63,6,NA
19B,Torsk,14,76,3850,M,193,Hvit,184,7,NA
19B,Torsk,15,75,3300,F,201,Hvit,48,7,NA
S2,Brosme,1,63,2291.4,m,44.1,gul-brun,NA,NA,NA
S2,Brosme,2,61,2488,m,55.3,gul-brun,NA,NA,NA
S2,Brosme,3,54,1477.7,f,16.4,gul-brun,NA,NA,NA
S2,Brosme,4,60,1379,f,44.7,gul-brun-rød,NA,NA,NA
S2,Brosme,5,66,3496.2,m,97.2,gul-brun,NA,NA,NA
S2,Brosme,6,59,2055.7,f,42.33,gul-brun,NA,NA,NA
S2,Brosme,7,55,1769,m,36.5,gul-brun,NA,NA,NA
S2,Brosme,8,59,2208,m,81.1,rød-gul,NA,NA,NA
S2,Brosme,9,61.5,2497.3,m,73.4,gul-brun,NA,NA,NA
S2,Brosme,10,57,2252,f,64.2,gul-brun,NA,NA,NA
S2,Brosme,11,61,2450,m,34.4,gul-brun,NA,NA,NA
S2,Brosme,12,58.5,1956,f,48.6,gb,NA,NA,NA
S2,Brosme,13,68,3405.5,f,122.5,gb,NA,NA,NA
S2,Brosme,14,77,4973,m,140.2,ghb,NA,NA,NA
23B,Torsk,1,61,2740,M,102,H,2,3,NA
23B,Torsk,2,51,1480,M,62,H,1,2,NA
23B,Torsk,3,56.5,1730,M,35,H,4,3,NA
23B,Torsk,4,71,4270,M,202,H,54,6,NA
23B,Torsk,5,66,2680,F,84,H,30,6,NA
23B,Torsk,6,57,1770,F,38,H,7,2,NA
23B,Torsk,7,56,1880,F,141,H,15,3,NA
23B,Torsk,8,58,1680,F,18,HB,21,5,NA
23B,Torsk,9,67,2920,M,45,H,7,5,NA
23B,Torsk,10,57,1760,F,57,H,12,4,NA
23B,Torsk,11,51,1330,M,36,H,1,2,NA
23B,Torsk,12,51,1070,M,8,HB,3,2,NA
23B,Torsk,13,51,1390,M,51,H,4,2,NA
23B,Torsk,14,49.5,1110,F,17,HB,2,2,NA
23B,Torsk,15,51.5,1230,F,18,H,3,2,NA
23B,Torsk,16,44,780,F,8,H,NA,NA,NA
23B,Torsk,17,46,902.9,F,11,RG,2.3,NA,NA
23B,Torsk,18,40,654.2,F,18.9,HG,2.2,NA,NA
23B,Torsk,19,66.5,2569,M,18,RG,1.5,NA,NA
