STATION_CODE,Species,Fish_no,Length,Weight,Kjønn,Liver_weight,Liver_color,Gonad_weight,Age,Otolittform
02B,Torsk,1,34,444,M,5.2,RG,NA,1,kyst
02B,Torsk,2,42,485,F,30.7,GR,NA,2,kyst
02B,Torsk,3,44,639,F,20.1,HR,NA,2,kyst
02B,Torsk,4,41,579,F,6.7,GR,NA,2,kyst
02B,Torsk,5,52,1149,F,23,GR,NA,2,kyst
02B,Torsk,6,41,611,M,13.5,GR,NA,1,kyst
02B,Torsk,7,46,1080,M,15.7,GR,NA,2,kyst
02B,Torsk,8,58,1578,F,62,GR,NA,3,kyst
02B,Torsk,9,49,1150,F,33.1,RG,NA,3,kyst
02B,Torsk,10,49,1148,M,24,GR,NA,2,kyst
10B,Torsk,1,48,1293,M,28.3,GR,NA,11,k
10B,Torsk,2,47,1115,M,59.1,GH,NA,6,k
10B,Torsk,3,42,771,F,28,GR,NA,4,k
10B,Torsk,4,39,591,F,11.7,GR,NA,3,k
10B,Torsk,5,39,619,M,28.1,GR,NA,4,k
10B,Torsk,6,35,415,F,10.4,GR,NA,3,k
10B,Torsk,7,34,435,M,10.9,GR,NA,4,k
10B,Torsk,8,35,424,F,8.2,GR,NA,3,k
10B,Torsk,9,43,680,F,12.5,GR,NA,4,k
10B,Torsk,10,35,441,M,13.7,GR,NA,4,k
10B,Torsk,11,38,614,F,14.4,GR,NA,3,k
10B,Torsk,12,34,390,M,3.7,GR,NA,3,k
10B,Torsk,13,31,346,F,9.2,GR,NA,2,k
10B,Torsk,14,35,485,M,14,GH,NA,3,k
10B,Torsk,15,33,358,M,2.2,GR,NA,3,k
10B,Torsk,16,33,329,F,2.7,RG,NA,NA,NA
10B,Torsk,17,32,288.6,F,5.9,NA,NA,NA,NA
10B,Torsk,18,32,317.6,M,7.8,NA,NA,NA,NA
10B,Torsk,19,31,250,F,6.6,NA,NA,NA,NA
10B,Torsk,20,34.5,306.5,F,2.6,NA,NA,NA,NA
10B,Torsk,21,31,273,f,6.9,NA,NA,NA,NA
10B,Torsk,22,31,235,m,6.5,NA,NA,NA,NA
10B,Torsk,23,30,231,M?,4.1,NA,NA,NA,NA
10B,Torsk,24,29,186,F,3.8,NA,NA,NA,NA
10B,Torsk,25,29,234,M,6.3,NA,NA,NA,NA
10B,Torsk,26,28,171,M,2.4,NA,NA,NA,NA
10B,Torsk,27,31,263,F,4.3,NA,NA,NA,NA
10B,Torsk,28,30,226,F,2.3,NA,NA,NA,NA
10B,Torsk,29,30,210,F,2.7,NA,NA,NA,NA
10B,Torsk,30,29,210,F,5,NA,NA,NA,NA
10B,Torsk,31,33,303,F,6.8,NA,NA,NA,NA
10B,Torsk,32,31,250,F,3.9,NA,NA,NA,NA
10B,Torsk,33,32,290,M,1.7,NA,NA,NA,NA
13B,Torsk,2,69,2786,F,41.9,gr,14.4,5,k
13B,Torsk,1,63,2908,F,27.9,rg,30.8,NA,NA
13B,Torsk,3,55,1555,F,34.5,gr,12.2,NA,NA
13B,Torsk,4,56,1710,M,43.1,gr,0.3,3,k
13B,Torsk,5,56,1508,M,15.3,rb,0.1,NA,NA
13B,Torsk,6,53,1374,F,23.9,rg,30.3,NA,NA
13B,Torsk,7,57,1950,M,51.2,gr,0.1,3,k
13B,Torsk,8,52,1574,F,41.2,gr,7.5,3,k
